-6.000000000000e+00 		 1.632055988806e-09
-5.988000000000e+00 		 3.264111977613e-09
-5.976000000000e+00 		 4.912490791561e-09
-5.964000000000e+00 		 6.585334028274e-09
-5.952000000000e+00 		 8.290836811570e-09
-5.940000000000e+00 		 1.003728696228e-08
-5.928000000000e+00 		 1.183310395830e-08
-5.916000000000e+00 		 1.368687786851e-08
-5.904000000000e+00 		 1.560740844063e-08
-5.892000000000e+00 		 1.760374451875e-08
-5.880000000000e+00 		 1.968522396355e-08
-5.868000000000e+00 		 2.186151424583e-08
-5.856000000000e+00 		 2.414265388239e-08
-5.844000000000e+00 		 2.653909488283e-08
-5.832000000000e+00 		 2.906174637563e-08
-5.820000000000e+00 		 3.172201958253e-08
-5.808000000000e+00 		 3.453187431181e-08
-5.796000000000e+00 		 3.750386714285e-08
-5.784000000000e+00 		 4.065120147704e-08
-5.772000000000e+00 		 4.398777963346e-08
-5.760000000000e+00 		 4.752825717141e-08
-5.748000000000e+00 		 5.128809962663e-08
-5.736000000000e+00 		 5.528364185275e-08
-5.724000000000e+00 		 5.953215016546e-08
-5.712000000000e+00 		 6.405188749296e-08
-5.700000000000e+00 		 6.886218174306e-08
-5.688000000000e+00 		 7.398349760485e-08
-5.676000000000e+00 		 7.943751201070e-08
-5.664000000000e+00 		 8.524719349307e-08
-5.652000000000e+00 		 9.143688567974e-08
-5.640000000000e+00 		 9.803239518095e-08
-5.628000000000e+00 		 1.050610841324e-07
-5.616000000000e+00 		 1.125519676693e-07
-5.604000000000e+00 		 1.205358166173e-07
-5.592000000000e+00 		 1.290452657013e-07
-5.580000000000e+00 		 1.381149275822e-07
-5.568000000000e+00 		 1.477815130491e-07
-5.556000000000e+00 		 1.580839577068e-07
-5.544000000000e+00 		 1.690635555145e-07
-5.532000000000e+00 		 1.807640995473e-07
-5.520000000000e+00 		 1.932320303685e-07
-5.508000000000e+00 		 2.065165924192e-07
-5.496000000000e+00 		 2.206699988496e-07
-5.484000000000e+00 		 2.357476052347e-07
-5.472000000000e+00 		 2.518080926379e-07
-5.460000000000e+00 		 2.689136605084e-07
-5.448000000000e+00 		 2.871302299168e-07
-5.436000000000e+00 		 3.065276576592e-07
-5.424000000000e+00 		 3.271799617823e-07
-5.412000000000e+00 		 3.491655591076e-07
-5.400000000000e+00 		 3.725675153578e-07
-5.388000000000e+00 		 3.974738085156e-07
-5.376000000000e+00 		 4.239776060743e-07
-5.364000000000e+00 		 4.521775568671e-07
-5.352000000000e+00 		 4.821780981922e-07
-5.340000000000e+00 		 5.140897789848e-07
-5.328000000000e+00 		 5.480295998165e-07
-5.316000000000e+00 		 5.841213705387e-07
-5.304000000000e+00 		 6.224960864216e-07
-5.292000000000e+00 		 6.632923236764e-07
-5.280000000000e+00 		 7.066566552869e-07
-5.268000000000e+00 		 7.527440881163e-07
-5.256000000000e+00 		 8.017185222948e-07
-5.244000000000e+00 		 8.537532339380e-07
-5.232000000000e+00 		 9.090313822877e-07
-5.220000000000e+00 		 9.677465424143e-07
-5.208000000000e+00 		 1.030103264666e-06
-5.196000000000e+00 		 1.096317662100e-06
-5.184000000000e+00 		 1.166618027176e-06
-5.172000000000e+00 		 1.241245479061e-06
-5.160000000000e+00 		 1.320454642916e-06
-5.148000000000e+00 		 1.404514362638e-06
-5.136000000000e+00 		 1.493708448537e-06
-5.124000000000e+00 		 1.588336461531e-06
-5.112000000000e+00 		 1.688714535474e-06
-5.100000000000e+00 		 1.795176239312e-06
-5.088000000000e+00 		 1.908073480825e-06
-5.076000000000e+00 		 2.027777453765e-06
-5.064000000000e+00 		 2.154679630306e-06
-5.052000000000e+00 		 2.289192800747e-06
-5.040000000000e+00 		 2.431752162522e-06
-5.028000000000e+00 		 2.582816460631e-06
-5.016000000000e+00 		 2.742869181683e-06
-5.004000000000e+00 		 2.912419803829e-06
-4.992000000000e+00 		 3.092005104945e-06
-4.980000000000e+00 		 3.282190531502e-06
-4.968000000000e+00 		 3.483571630675e-06
-4.956000000000e+00 		 3.696775548291e-06
-4.944000000000e+00 		 3.922462595351e-06
-4.932000000000e+00 		 4.161327885929e-06
-4.920000000000e+00 		 4.414103049365e-06
-4.908000000000e+00 		 4.681558019758e-06
-4.896000000000e+00 		 4.964502905875e-06
-4.884000000000e+00 		 5.263789944704e-06
-4.872000000000e+00 		 5.580315541968e-06
-4.860000000000e+00 		 5.915022403049e-06
-4.848000000000e+00 		 6.268901757877e-06
-4.836000000000e+00 		 6.642995683446e-06
-4.824000000000e+00 		 7.038399527757e-06
-4.812000000000e+00 		 7.456264439096e-06
-4.800000000000e+00 		 7.897800004676e-06
-4.788000000000e+00 		 8.364277002817e-06
-4.776000000000e+00 		 8.857030272950e-06
-4.764000000000e+00 		 9.377461707870e-06
-4.752000000000e+00 		 9.927043372799e-06
-4.740000000000e+00 		 1.050732075596e-05
-4.728000000000e+00 		 1.111991615548e-05
-4.716000000000e+00 		 1.176653220764e-05
-4.704000000000e+00 		 1.244895556155e-05
-4.692000000000e+00 		 1.316906070555e-05
-4.680000000000e+00 		 1.392881395077e-05
-4.668000000000e+00 		 1.473027757734e-05
-4.656000000000e+00 		 1.557561414915e-05
-4.644000000000e+00 		 1.646709100278e-05
-4.632000000000e+00 		 1.740708491697e-05
-4.620000000000e+00 		 1.839808696848e-05
-4.608000000000e+00 		 1.944270758102e-05
-4.596000000000e+00 		 2.054368177357e-05
-4.584000000000e+00 		 2.170387461481e-05
-4.572000000000e+00 		 2.292628689067e-05
-4.560000000000e+00 		 2.421406099179e-05
